omitted_animal,n_combined_exposure,n_oxygen_control,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,scenario_order,scenario,is_full_cohort,fdr_lt_0_05,nes_rank_descending,nes_rank_ascending,absolute_nes_rank
(none),3,3,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,50,-0.3741810506138286,-1.3992561353613626,0.05060728744939271,0.10901162790697676,0.06425948592411262,2420,"tags=40%, list=18%, signal=33%",Smurf1/Xiap/Furin/Wwtr1/Cdkn1c/Id3/Smurf2/Rhoa/Map3k7/Serpine1/Thbs1/Bcar3/Tgif1/Fnta/Skil/Bmpr2/Tgfbr1/Smad7/Tjp1/Id2,1,Full cohort,TRUE,FALSE,33,18,21
(none),3,3,HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,197,0.28899973692106506,1.3870183382308263,0.00881913038149526,0.02449758439304239,0.01444068132642498,1411,"tags=21%, list=11%, signal=19%",Mthfd2/Myc/Mcm7/Mcm2/Mcm6/Mcm5/Timeless/Rpa2/Nop56/Tbrg4/Hells/Lig1/Gins1/Tcf19/Pop7/Rad50/Pola2/Mcm4/Ung/Orc6/Nasp/Mcm3/Jpt1/Pan2/Tubb5/Rad51ap1/Suv39h1/Tipin/Slbp/Cdk4/Ddx39a/Pold1/Cdc25a/Rfc2/Dscc1/Rfc1/Srsf2/Pms2/Nolc1/Xrcc6/Cnot9,1,Full cohort,TRUE,TRUE,4,47,22
(none),3,3,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,166,-0.2930577963102147,-1.359498969590613,0.01481702568926431,0.03899217286648504,0.02298485979498065,2433,"tags=27%, list=18%, signal=22%",Cish/Furin/Socs2/Snx14/Phlda1/Gpr65/Cdkn1c/Ikzf2/Cyfip1/Pim1/Wls/Sh3bgrl2/Arl4a/Tnfrsf1b/Batf/Ccnd2/Gpx4/Eno3/Slc2a3/Rhoh/Rora/Glipr2/Swap70/Odc1/Casp3/Ahr/P4ha1/Ccnd3/Huwe1/Itgav/Maff/Bmpr2/Rragd/Tlr7/Smpdl3a/Igf1r/Cd86/Ltb/Dennd5a/Cd44/Nfil3/Csf1/Cd83/Cxcl10,1,Full cohort,TRUE,TRUE,32,19,23
(none),3,3,HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,162,-0.2768341361603408,-1.280090293334481,0.05232558139534884,0.10901162790697676,0.06425948592411262,2191,"tags=27%, list=17%, signal=22%",Homer1/Ddit4/Copb2/Aldh7a1/Il13ra1/Nsdhl/Dld/Ero1a/Slc16a3/Slc35a3/Mxi1/Arpp19/Ppp2cb/Egln3/Cxcr4/Txn1/Kif20a/Sod1/Sap30/Eno2/Hmmr/Pfkp/Bpnt1/Tgfa/Cdk1/Glrx/P4ha1/Rragd/Mertk/Cyb5a/Tpi1/Vegfa/Tpbg/Irs2/Stmn1/Cenpa/Cd44/Aldoa/Pgam1/Pgk1/B4galt1/Ang/Mif,1,Full cohort,TRUE,FALSE,31,20,24
(none),3,3,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,141,-0.2774804045528919,-1.255706970769769,0.08285163776493257,0.15933007262487034,0.09392088491571304,1614,"tags=21%, list=12%, signal=18%",Fkbp5/Aldh3a2/Batf/Farp1/Cd9/Dlg5/Kif20a/Opn3/Flnb/Ptger3/Aff1/Plaat3/Cox6c/Fabp5/Dynlt3/Jak1/Tspan13/Btg3/Areg/Arl3/Pdcd4/Abhd2/Klf4/Tpbg/Car12/Cd44/Top2a/Dnajc12/Id2,1,Full cohort,TRUE,FALSE,30,21,25
(none),3,3,HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,183,-0.26367946508129136,-1.237286928224965,0.07561436672967864,0.15122873345935728,0.08914535867077904,1720,"tags=26%, list=13%, signal=23%",Pom121/Abcc5/Cdkn2a/Perp/Fas/Ip6k2/Ddit4/Pvt1/Prmt2/Abhd4/Slc7a11/H2aj/Gm2a/Stom/Ankra2/Klk8/Hint1/Ccnd2/Ptpn14/Epha2/Ccng1/Bax/Cd82/Rps27l/Txnip/Rb1/Tgfa/Vamp8/Btg1/Ccnd3/Rpl36/Cdkn2b/Ninj1/Mknk2/H2ac25/S100a10/Zbtb16/Sat1/Foxo3/Zfp36l1/S100a4/Klf4/Cebpa/Pitpnc1/Il1a/Rnf19b/H1f2,1,Full cohort,TRUE,FALSE,29,22,26
(none),3,3,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,32,0.35109658443387726,1.210566872920208,0.19140625,0.3190104166666667,0.1880482456140351,2811,"tags=38%, list=21%, signal=30%",Myc/Ppard/Kat2a/Skp2/Nkd1/Axin1/Ptch1/Gnai1/Psen2/Ncstn/Trp53/Hdac5,1,Full cohort,TRUE,FALSE,5,46,27
(none),3,3,HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,185,-0.25574061171226425,-1.208951715132668,0.09926470588235294,0.1838235294117647,0.108359133126935,1844,"tags=21%, list=14%, signal=18%",Aplp2/Dld/Sowahc/Lifr/Uqcrq/Ndufb7/Stom/Arl4a/Cdkn2c/Cox8a/Ppm1b/Agpat3/Atl2/Cmpk1/Ltc4s/Gpx4/Dhrs7/Sod1/Ptger3/C3/Cox7b/Cd302/Dhrs7b/Atp1b3/Apoe/Enpp2/Abca1/Chchd10/Uqcr10/Dnajc15/Scp2/Bcl6/Ndufa5/Pdcd4/Pfkl/Aldoa/Ndufab1/Sqor,1,Full cohort,TRUE,FALSE,28,23,28
(none),3,3,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,29,-0.36164419817256993,-1.201040774080295,0.22379032258064516,0.32299741602067183,0.19039847681218552,255,"tags=14%, list=2%, signal=14%",Myh9/Vegfa/Ets2/Tle3,1,Full cohort,TRUE,FALSE,27,24,29
(none),3,3,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,70,-0.29162416689244014,-1.1885608750739696,0.16216216216216217,0.2895752895752896,0.170697012802276,2219,"tags=29%, list=17%, signal=24%",Grb2/Fas/Ccl7/Il13ra1/Pim1/Tnfrsf1b/Il17ra/Ebi3/Cd9/Ptpn2/Ccr1/Cxcl9/Il2rg/Cxcl13/Ltb/Cd44/Il6/Cd14/Csf1/Cxcl10,1,Full cohort,TRUE,FALSE,26,25,30
(none),3,3,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,107,0.2568308797992895,1.1433657042353411,0.1744421906693712,0.30076239770581237,0.1772915186476368,3226,"tags=32%, list=24%, signal=24%",Mthfd2/Psat1/Nop56/Aldh18a1/Chac1/Rrp9/Eef2/Iars1/Sdad1/Wipi1/Arfgap1/Nolc1/Exosc1/Tatdn2/Exosc2/Tars1/Lsm1/Bag3/Preb/Srpra/Exosc5/Imp3/Nabp1/Dctn1/Eif4a2/Wfs1/Dcp2/Eif4ebp1/Calr/Nop14/Fus/Asns/Edc4/Cnot2,1,Full cohort,TRUE,FALSE,6,45,31
(none),3,3,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,95,-0.2662999079480749,-1.135861200783309,0.2316831683168317,0.32299741602067183,0.19039847681218552,2332,"tags=25%, list=18%, signal=21%",Dapp1/Ube2n/Grb2/Rac1/Rptor/Cdkn1b/Plcg1/Pla2g12a/Arpc3/Map2k6/Mapk1/Map3k7/Cxcr4/Slc2a1/Eif4e/Cab39l/Cdk1/Camk4/Rps6ka3/Gsk3b/Il2rg/Mknk2/Actr2/Pten,1,Full cohort,TRUE,FALSE,25,26,32
(none),3,3,HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,145,-0.24901203953243883,-1.13179639089118,0.2092130518234165,0.32299741602067183,0.19039847681218552,1302,"tags=18%, list=10%, signal=16%",Gpx4/Arl6ip1/Dctn4/Gsdme/Rad52/Polb/Polr2i/Gtf2h5/Dguok/Ago4/Sdcbp/Supt4a/Taf12/Gtf2h3/Gtf2a2/Rbx1/Cox17/Dad1/Rpa3/Eif1b/Rala/Cetn2/Polr1h/Polr2g/Polr2k/Pde4b,1,Full cohort,TRUE,FALSE,24,27,33
(none),3,3,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,129,-0.2514064941068403,-1.1235747431350271,0.23255813953488372,0.32299741602067183,0.19039847681218552,3124,"tags=31%, list=24%, signal=24%",Acadl/Elovl5/Cd36/Bmpr1b/Suclg2/Eci1/Kmt5a/Idi1/Hsdl2/Idh3g/Suclg1/Hsd17b11/Mcee/Uros/Hsd17b10/Bphl/Hadhb/Hibch/Sdhd/Nsdhl/Dld/D2hgdh/Cpox/Ostc/Aldh3a2/Ywhah/Hmgcs1/Ltc4s/Rap1gds1/Sdha/Eno2/H2az1/Eno3/Auh/Odc1/Serinc1/Glul/S100a10/Aldoa/Mif,1,Full cohort,TRUE,FALSE,23,28,34
(none),3,3,HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,167,-0.23798363846899048,-1.1076791989260508,0.22095238095238096,0.32299741602067183,0.19039847681218552,3102,"tags=26%, list=23%, signal=20%",Glrx5/Mfhas1/Atp6v0a1/Cdc27/Ucp2/Tfdp2/Slc22a4/Tfrc/Kat2b/Snca/Prdx2/Kdm7a/Tnrc6b/Sec14l1/Ackr1/Cat/Uros/Mark3/Pdzk1ip1/Xpo7/Cpox/Slc7a11/Mxi1/Tcea1/Slc2a1/Arhgef12/Xk/C3/Ncoa4/Sdcbp/Lamp2/Mkrn1/Tent5c/AK157302/Bach1/Ccnd3/H1f0/Foxo3/Lpin2/Epb41/Ell2/Bmp2k/Picalm,1,Full cohort,TRUE,FALSE,22,29,35
(none),3,3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,65,-0.2772980112419281,-1.1067838511353227,0.2664015904572565,0.3505284084963901,0.2066272723768194,1938,"tags=23%, list=15%, signal=20%",Ebp/Nsdhl/Anxa5/Atxn2/Srebf2/Cpeb2/Hmgcs1/Cd9/Gpx8/Fabp5/Trp53inp1/Nfil3/S100a11/Cxcl16/Plaur,1,Full cohort,TRUE,FALSE,21,30,36
(none),3,3,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,192,-0.23367663002722927,-1.106406027411531,0.2058287795992714,0.32299741602067183,0.19039847681218552,2693,"tags=29%, list=20%, signal=23%",Hprt1/Acp1/Srsf3/Tfdp1/Hdac2/Cdc20/Ddx18/Cops5/Srsf1/Pwp1/Cstf2/Psmd8/Cad/Eif3j1/Canx/Ube2e1/Rps3/Psma6/Fam120a/Glo1/Xpo1/Ap3s1/Snrpb2/Psmc6/Mad2l1/Gspt1/Syncrip/Snrpg/Phb1/Snrpd2/Hspe1/Eif4e/Prps2/Ywhaq/Snrpd1/H2az1/Rps10/Vdac3/Psma2/Eef1b2/Hnrnpa3/Ywhae/Odc1/Erh/Vbp1/Hnrnpr/Ccna2/Rpl22/Txnl4a/Cbx3/Ssbp1/Ndufab1/Pgk1/Hnrnpc/Ifrd1,1,Full cohort,TRUE,FALSE,20,31,37
(none),3,3,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,138,0.2381551828909424,1.0984617377545454,0.24229979466119095,0.32743215494755534,0.1930126387059274,2585,"tags=26%, list=20%, signal=21%",Ptgds/Gsto1/Slc6a6/Acox3/Tpst1/Ap4b1/Hes6/Tmem97/Nmt1/Aldh9a1/Dhrs1/Bcar1/Sertad1/Ppard/Irf8/Pgd/Slc1a5/Shmt2/Abcd2/Aco2/Etfdh/Acp2/Slc12a4/Cyfip2/Fah/Dcxr/Mpp2/Hmox1/Pemt/Vtn/Gsr/Ddc/Gart/Abhd6/Blvrb/Ptgr1,1,Full cohort,TRUE,FALSE,7,44,38
(none),3,3,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,83,-0.2609553579972723,-1.0894522150456194,0.29141716566866266,0.37361175085725984,0.22023429524217425,1478,"tags=16%, list=11%, signal=14%",Rbp1/Rxrg/Abca9/Npc1/Pex7/Sod1/Bcar3/Pex1/Abca1/Pex13/Scp2/Fads1/Ttr,1,Full cohort,TRUE,FALSE,19,32,39
