outcome_type,outcome,metric,dropped_animal,dropped_source_group,n_exposed,n_control,exposed_mean,control_mean,cohens_d_point_estimate,mean_difference,welch_se,welch_df,ci_level,mean_difference_ci_low,mean_difference_ci_high,sign_matches_full
gene,Jund,pseudobulk_log2cpm,C2,Control,3,2,11.860347909785856,12.142231310911974,-11.772355545030281,-0.28188340112611776,0.01721789935116914,2.2018551485105458,0.95,-0.34982367235227485,-0.21394312989996067,True
gene,Jund,pseudobulk_log2cpm,C3,Control,3,2,11.860347909785856,11.992963607258437,-1.0951109902831295,-0.1326156974725805,0.1464019014870363,1.0267297489526244,0.95,-1.8822001422368735,1.6169687472917125,True
gene,Jund,pseudobulk_log2cpm,S1,Surgery,2,3,11.877066670689358,12.04399661734964,-1.2011395368486413,-0.16692994666028227,0.09829408998132222,2.002807968478916,0.95,-0.5892875720781809,0.2554276787576164,True
gene,Jund,pseudobulk_log2cpm,S2,Surgery,2,3,11.853290459127413,12.04399661734964,-1.3561860288542438,-0.19070615822222692,0.10173915762533366,2.2750630397716773,0.95,-0.581450700650038,0.20003838420558417,True
gene,Jund,pseudobulk_log2cpm,S3,Surgery,2,3,11.850686599540799,12.04399661734964,-1.3777396162933355,-0.19331001780884094,0.10109528315776073,2.225799905673991,0.95,-0.5886211916744559,0.202001156056774,True
gene,Egr1,pseudobulk_log2cpm,C1,Control,3,2,11.652116153648741,11.184340612234799,2.504716921631494,0.4677755414139426,0.1825824524980214,1.8109813205569882,0.95,-0.4018650060134249,1.33741608884131,True
gene,Egr1,pseudobulk_log2cpm,C2,Control,3,2,11.652116153648741,11.389407404481465,1.8263302567898567,0.2627087491672757,0.1097986888342565,2.815807234702339,0.95,-0.10001336280193107,0.6254308611364825,True
gene,Egr1,pseudobulk_log2cpm,C3,Control,3,2,11.652116153648741,11.234987011791489,1.9237393981849624,0.41712914185725225,0.22703101894675812,1.4649998572940919,0.95,-0.9954939858995371,1.8297522696140416,True
gene,Egr1,pseudobulk_log2cpm,S1,Surgery,2,3,11.611265216463984,11.269578342835919,1.591880748780531,0.34168687362806516,0.1966715762786187,2.2451733524955113,0.95,-0.4218566492147007,1.105230396470831,True
gene,Egr1,pseudobulk_log2cpm,S2,Surgery,2,3,11.595949054653953,11.269578342835919,1.5720733300956027,0.32637071181803456,0.18499155952114293,2.455050109560501,0.95,-0.3436537000352359,0.996395123671305,True
gene,Egr1,pseudobulk_log2cpm,S3,Surgery,2,3,11.749134189828286,11.269578342835919,2.742135740709015,0.4795558469923673,0.12429242973781109,2.0611713675256365,0.95,-0.04030615390992831,0.9994178478946629,True
gene,Atf3,pseudobulk_log2cpm,C1,Control,3,2,11.565864604578069,11.538820866151848,0.10192433248414143,0.027043738426220543,0.20548675355387563,2.908106149450382,0.95,-0.6387539218993085,0.6928413987517495,True
gene,Atf3,pseudobulk_log2cpm,C2,Control,3,2,11.565864604578069,11.616631861774609,-0.20100892228745806,-0.05076725719654007,0.1797361482557992,2.0770514868733403,0.95,-0.7972578931532355,0.6957233787601553,False
gene,Atf3,pseudobulk_log2cpm,C3,Control,3,2,11.565864604578069,11.513983940306469,0.1998178975697598,0.051880664271600097,0.19427496273114306,2.644216731120293,0.95,-0.6162219652637143,0.7199832938069145,True
gene,Atf3,pseudobulk_log2cpm,S1,Surgery,2,3,11.499426927855456,11.556478889410975,-0.22876396255266093,-0.05705196155551917,0.29265464292845206,1.0944593928609512,0.95,-3.096687575783184,2.9825836526721456,False
gene,Atf3,pseudobulk_log2cpm,S2,Surgery,2,3,11.456060074526858,11.556478889410975,-0.46363980215960915,-0.10041881488411697,0.2504346825684761,1.131692019065681,0.95,-2.528024879067265,2.327187249299031,False
gene,Atf3,pseudobulk_log2cpm,S3,Surgery,2,3,11.742106811351892,11.556478889410975,1.967453304638232,0.1856279219409167,0.07552938730688744,2.999819176270018,0.95,-0.0547484945562742,0.4260043384381076,True
gene,Ier2,pseudobulk_log2cpm,C1,Control,3,2,11.139494234084284,10.406759290948875,4.345059514828198,0.7327349431354087,0.12794525805023946,2.7687203089916625,0.95,0.30562127147013807,1.1598486148006792,True
gene,Ier2,pseudobulk_log2cpm,C2,Control,3,2,11.139494234084284,10.435338152900396,4.299848706000824,0.7041560811838874,0.11806837258220765,2.233332216857646,0.95,0.24376927671999188,1.1645428856477829,True
gene,Ier2,pseudobulk_log2cpm,C3,Control,3,2,11.139494234084284,10.378537434080965,4.645525082940828,0.7609568000033189,0.11815421596194696,2.2389926419551847,0.95,0.30119937293619936,1.2207142270704385,True
gene,Ier2,pseudobulk_log2cpm,S1,Surgery,2,3,11.063100530194133,10.406878292643412,5.067957886555844,0.6562222375507201,0.15165244122482952,1.099195853462378,0.95,-0.9046699251353714,2.2171144002368113,True
gene,Ier2,pseudobulk_log2cpm,S2,Surgery,2,3,11.251723187538175,10.406878292643412,14.825107164170701,0.8448448948947629,0.0521578654811768,2.253398763500337,0.95,0.6429581786809142,1.0467316111086116,True
gene,Ier2,pseudobulk_log2cpm,S3,Surgery,2,3,11.103658984520546,10.406878292643412,4.332101416775055,0.6967806918771338,0.19145224359545437,1.0608843435601396,0.95,-1.4295190350843803,2.823080418838648,True
gene,Dusp1,pseudobulk_log2cpm,C1,Control,3,2,10.337414718894138,10.383528027142994,-0.20790698561645568,-0.046113308248855844,0.2362069766701838,1.3957791818044694,0.95,-1.6258544734219342,1.5336278569242225,True
gene,Dusp1,pseudobulk_log2cpm,C2,Control,3,2,10.337414718894138,10.264578696346302,0.4670653783817563,0.07283602254783617,0.1359416330745636,2.6192916225822978,0.95,-0.3976342399271295,0.5433062850228019,False
gene,Dusp1,pseudobulk_log2cpm,C3,Control,3,2,10.337414718894138,10.480900012225035,-0.8663478308859132,-0.14348529333089743,0.15214390366078878,2.226253333875353,0.95,-0.7383101481827496,0.4513395615209548,True
gene,Dusp1,pseudobulk_log2cpm,S1,Surgery,2,3,10.400452760234675,10.376335578571444,0.11860093651838483,0.024117181663230625,0.17528583405956452,2.6993965871026697,0.95,-0.5705644617530409,0.6187988250795021,False
gene,Dusp1,pseudobulk_log2cpm,S2,Surgery,2,3,10.36728602401779,10.376335578571444,-0.04151646682773292,-0.00904955455365375,0.1999240430281943,2.237794472751309,0.95,-0.7873310173139353,0.7692319082066278,True
gene,Dusp1,pseudobulk_log2cpm,S3,Surgery,2,3,10.244505372429952,10.376335578571444,-0.7365686677832856,-0.1318302061414922,0.12942205225116607,2.2686222777795355,0.95,-0.630038646906586,0.36637823462360153,True
gene,Zfp36,pseudobulk_log2cpm,C1,Control,3,2,11.402236619398861,11.283698512073347,0.9528825881900272,0.11853810732551473,0.1010550154697751,2.9877927736734384,0.95,-0.2038086732946175,0.44088488794564695,True
gene,Zfp36,pseudobulk_log2cpm,C2,Control,3,2,11.402236619398861,11.302716696740852,0.7574847984800566,0.09951992265800946,0.11353915704012899,2.681671538525818,0.95,-0.2873319372819654,0.4863717825979843,True
gene,Zfp36,pseudobulk_log2cpm,C3,Control,3,2,11.402236619398861,11.363640825995379,0.3354018576384289,0.038595793403482404,0.08283753964369978,2.215043197165505,0.95,-0.2866357764293372,0.363827363236302,True
