selection,n_cells,n_genes,panel,panel_genes,sweep,seed,ctrl_size,n_bins,mean_difference,mean_difference_ci_low,mean_difference_ci_high,welch_df,cohens_d,exact_perm_p,mean_difference_without_s3,cohens_d_without_s3,sign_preserved_without_s3,surgery_values,control_values
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,5,50,25,0.14648010061800587,-0.07601113312490343,0.36897133436091517,2.6836079154623254,1.8306883162158734,0.2,0.19765043865656184,3.4409423901059544,True,S1:1.8972435;S2:1.7871356;S3:1.6886785,C1:1.6936354;C2:1.609484;C3:1.6304978
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,6,50,25,0.1420294564507838,-0.06251494626265805,0.3465738591642257,2.838905805534668,1.8636168557201098,0.2,0.1914026011083143,3.5734773885438234,True,S1:1.8542341;S2:1.760221;S3:1.6591081,C1:1.6680227;C2:1.5826368;C3:1.5968152
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,7,50,25,0.1507570671735019,-0.12036224595985978,0.4218763803068636,2.3629910804886536,1.6922985375441655,0.2,0.2077328027076979,3.2486584692473786,True,S1:1.9550272;S2:1.816425;S3:1.7147989,C1:1.7190614;C2:1.6493534;C3:1.6655652
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,8,50,25,0.13756720814005918,-0.1309266751832916,0.40606109146340996,2.502912602559981,1.4941957364616678,0.2,0.20191062749898836,3.6730429249337555,True,S1:2.011743;S2:1.9095298;S3:1.7676062,C1:1.8072529;C2:1.722026;C3:1.7468985
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,9,50,25,0.13478770238527193,-0.0774998477891918,0.3470752525597357,2.4454988514595164,1.8830510621985757,0.1,0.1805440686554709,3.511046168149827,True,S1:1.9028942;S2:1.7946789;S3:1.7115174,C1:1.705242;C2:1.6531967;C3:1.6462888
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,10,50,25,0.15319175203531987,-0.07806299524645799,0.38444649931709773,2.5660117518645493,1.898325254672191,0.1,0.2035133116360266,3.3832299355378104,True,S1:1.852934;S2:1.7299104;S3:1.6404575,C1:1.6344669;C2:1.5603594;C3:1.5689003
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,11,50,25,0.14428697237358734,-0.08432572648087719,0.3728996712280519,2.672742612358245,1.759658974673751,0.2,0.19751229763168054,3.4388555637764022,True,S1:1.8715817;S2:1.7627196;S3:1.6574747,C1:1.6696332;C2:1.5841101;C3:1.6051717
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,12,50,25,0.14604409552662778,-0.08038191402836328,0.3724701050816188,2.568928945528265,1.8468964076244445,0.2,0.19663953365938291,3.4666995668339182,True,S1:1.9671094;S2:1.8532635;S3:1.7584001,C1:1.7588996;C2:1.6842924;C3:1.6974487
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,13,50,25,0.14236906153812545,-0.09135487186063099,0.37609299493688186,2.5631076854874455,1.7469430161663793,0.2,0.19516138458669485,3.4069233415358697,True,S1:1.8398995;S2:1.7258233;S3:1.6244844,C1:1.6342065;C2:1.557616;C3:1.5712776
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,14,50,25,0.1415294570845964,-0.07310120024251526,0.3561601144117081,2.7487079960138545,1.8055654939676469,0.2,0.19308029588726505,3.5995118634722343,True,S1:1.8857161;S2:1.7894392;S3:1.6829252,C1:1.695237;C2:1.6108939;C3:1.6273612
