estimand,contrast,ensembl,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj,direction,feature_universe,symbol_mapping,estimand_note
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022772,Senp5,20.412163396379373,0.23672561894115776,0.24456426870442366,-0.2426115396248887,0.7160627775072043,0.9679485077489404,0.3330700867170295,0.8125065214000091,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022773,Ypel1,11.929348068070897,0.018815383375270354,0.36569073523040024,-0.6979252871562867,0.7355560539068273,0.05145162718824661,0.9589656466715801,0.9952632766175518,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022774,Ncbp2,18.755222044181732,-0.7155433726834498,0.43202368389060997,-1.5622942335773622,0.13120748821046258,-1.6562595972507566,0.09766925873089621,0.6576921858088576,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022779,Top3b,52.55666183253585,-0.6097147801874794,0.2945255582527178,-1.1869742668893597,-0.032455293485598946,-2.070159152925918,0.038437442991043014,0.5129607315816049,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022780,Meltf,0.5866851603162124,-0.7685348428623588,1.5598983618654054,-3.825879451661581,2.2888097659368634,-0.49268263987616856,0.6222368458684384,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022781,Pak2,67.79632972573735,0.085912606277252307,0.20440455433926893,-0.3147129585036751,0.48653817105817976,0.42030671261196706,0.674261406794356,0.9305454010015943,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022783,Spag6l,2.046787777195433,0.12368383765050192,1.2110953620494613,-2.2500194538099385,2.4973871291109426,0.10212559764179054,0.9186569832558671,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022787,Wdr53,7.835773919901196,-0.16207131694415347,0.5546960009433997,-1.2492555011616122,0.9251128672733053,-0.2921804315670395,0.7701486725115874,0.9574461890835191,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022788,Fgd4,621.0247531979046,0.24328302096575694,0.18777068755050344,-0.12474076398555317,0.611306805917067,1.2956389740029188,0.1950998951377639,0.7367466830919034,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022789,Dnm1l,23.004779646149213,-0.011841016868372887,0.4042634380209654,-0.8041827956558052,0.7805007619190594,-0.029290348210413236,0.9766330246135746,0.9976397056561787,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022790,Igsf11,2.8022172425471092,0.43411589176979304,0.9204732811001215,-1.3699785879178576,2.238210371457444,0.4716224801777527,0.6371962779189505,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022791,Tnk2,1.564106186360132,-0.043064847521557766,1.074534690872329,-2.149114141770202,2.062984446727087,-0.04007767072331266,0.9680312036776256,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022792,Yars2,4.474082299431085,-1.5870536722737552,0.588980393215549,-2.74143403057647,-0.43267331397104036,-2.6945781057484908,0.0070477806380310525,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000022793,B4galt4,52.50578940766636,-0.40869701844703205,0.19356135766406377,-0.7880703082672729,-0.029323728626791223,-2.11145976334981,0.034732812885299974,0.49100280066408825,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
