outcome_type,outcome,dropped_animal,dropped_group,n_combined_exposure,n_oxygen_control,combined_exposure_mean,oxygen_control_mean,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,cohens_d,exact_permutation_p,perfect_group_separation,sign_matches_full
gene,Ifit2,S2,Combined exposure,2,3,2.5364053277488567,1.0734413683060582,1.4629639594427986,0.8534222513692331,2.072505667516364,6.970698575487077,NA,TRUE,TRUE
gene,Ifit2,S3,Combined exposure,2,3,2.2160735231858206,1.0734413683060582,1.1426321548797624,-0.798034468584039,3.083298778343564,3.5941094395544773,NA,TRUE,TRUE
gene,Ifit3,(none),NA,3,3,3.5099211177739513,2.693845093775341,0.8160760239986105,-1.7908933202253623,3.423045368222583,0.9313022537933789,0.5,FALSE,TRUE
gene,Ifit3,C1,Oxygen control,3,2,3.5099211177739513,2.5377153833886252,0.9722057343853261,-1.5892065201874828,3.533617988958135,0.9845630619627018,NA,FALSE,TRUE
gene,Ifit3,C2,Oxygen control,3,2,3.5099211177739513,2.912614633315167,0.5973064844587843,-2.252145348285834,3.4467583172034026,0.6200156072378127,NA,FALSE,TRUE
gene,Ifit3,C3,Oxygen control,3,2,3.5099211177739513,2.63120526462223,0.8787158531517214,-1.6535530211862257,3.4109847274896685,0.8717861702260316,NA,FALSE,TRUE
gene,Ifit3,S1,Combined exposure,2,3,3.8329138199469392,2.693845093775341,1.1390687261715984,-9.828653730431416,12.106791182774614,1.2616199784298272,NA,FALSE,TRUE
gene,Ifit3,S2,Combined exposure,2,3,3.8657300371054215,2.693845093775341,1.1718849433300806,-9.33392024739072,11.677690134050883,1.334959568889595,NA,FALSE,TRUE
gene,Ifit3,S3,Combined exposure,2,3,2.831119496269493,2.693845093775341,0.13727440249415235,-0.8056379428007913,1.0801867477890958,0.4292654295254613,NA,FALSE,TRUE
panel,author_selected_isg7,(none),NA,3,3,3.3745643912840535,2.3059907159608053,1.0685736753232482,-1.6383376896954465,3.775485040341943,1.3247486233261767,0.2,FALSE,TRUE
panel,author_selected_isg7,C1,Oxygen control,3,2,3.3745643912840535,2.339671722485266,1.0348926687987876,-1.5605787999738787,3.630364137571454,1.1125603910747326,NA,FALSE,TRUE
panel,author_selected_isg7,C2,Oxygen control,3,2,3.3745643912840535,2.3738896293347085,1.000674761949345,-1.6549870264580546,3.6563365503567447,1.0801222241288868,NA,FALSE,TRUE
panel,author_selected_isg7,C3,Oxygen control,3,2,3.3745643912840535,2.204410796062442,1.1701535952216116,-1.6175573572651976,3.9578645477084207,1.2715414562772422,NA,TRUE,TRUE
panel,author_selected_isg7,S1,Combined exposure,2,3,3.5120542360128266,2.3059907159608053,1.2060635200520213,-12.28184639845714,14.693973438561184,1.3240536089319446,NA,FALSE,TRUE
panel,author_selected_isg7,S2,Combined exposure,2,3,3.8563753254301916,2.3059907159608053,1.5503846094693863,-7.362840706509171,10.463609925447944,2.4415084774612774,NA,TRUE,TRUE
panel,author_selected_isg7,S3,Combined exposure,2,3,2.7552636124091423,2.3059907159608053,0.449272896448337,-2.740270183598287,3.638815976494961,1.4175006327489885,NA,FALSE,TRUE
